project_id,project_name,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,actual_delay_months,actual_cost_overrun_percentage,final_status,primary_delay_cause,intervention_taken,intervention_outcome
HIST-00001,Bihar Port Connectivity Corridor - Phase 3,Ports,Bihar,254.2,259.0,13,61,98.8,100.0,4,1,0,1,0,0,-1.9,0,2.3,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00002,Madhya Pradesh Container Yard Development - Phase 3,Ports,Madhya Pradesh,93.6,105.7,67,87,84.6,70.3,17,1,1,0,1,0,1.8,0,4.8,Completed,No material delay,Inter-Department Coordination,Successful
HIST-00003,Madhya Pradesh State Highway Upgradation - Phase 2,Roads,Madhya Pradesh,85.5,97.4,40,58,100.0,90.0,9,0,0,1,1,1,-3.8,1,7.0,Completed with Cost Overrun,No material delay,Additional Funding Approval,Successful
HIST-00004,Gujarat Port Terminal Expansion - Phase 1,Ports,Gujarat,261.4,276.8,37,18,46.3,55.6,10,0,0,0,0,1,-8.2,1,2.6,Under Review,No material delay,Contractor Replacement,Successful
HIST-00005,Karnataka Affordable Housing Scheme - Phase 3,Urban Development,Karnataka,412.6,482.9,12,45,100.0,100.0,4,1,1,0,1,0,7.1,5,9.5,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00006,Andhra Pradesh Sewerage Network Upgrade - Phase 2,Urban Development,Andhra Pradesh,161.2,181.5,25,86,84.4,96.6,6,2,0,1,0,1,11.7,3,7.0,Delayed,Milestone slippage,Contractor Replacement,Successful
HIST-00007,Madhya Pradesh Urban Renewal Mission - Phase 3,Urban Development,Madhya Pradesh,371.5,376.3,26,47,100.0,96.0,7,0,0,0,0,0,5.8,3,2.6,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00008,Odisha Solar Power Park - Phase 1,Power,Odisha,327.8,335.8,49,55,100.0,100.0,9,1,0,0,0,0,6.1,4,3.7,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00009,Karnataka National Highway Widening - Phase 3,Roads,Karnataka,374.5,429.0,49,83,100.0,100.0,13,2,1,0,0,1,3.0,5,10.0,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00010,Andhra Pradesh Affordable Housing Scheme - Phase 1,Urban Development,Andhra Pradesh,185.2,194.9,65,46,65.0,58.6,18,0,0,0,0,0,-6.9,0,5.6,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
